config,gap_mean,gap_std,circuits_mean,ratio,n_seeds
Full v9.0,0.092481,0.089111,16200.0,1.0,5
No escape,0.092481,0.089111,16200.0,1.0,5
No preconditioner,0.357083,0.017046,16200.0,3.86,5
No momentum,0.153136,0.091479,14191.2,1.66,5
No CUSUM,0.092481,0.089111,16200.0,1.0,5
No VSNG,0.092481,0.089111,16200.0,1.0,5
With annealing,0.104959,0.111721,14693.4,1.13,5
No clipping,0.092481,0.089111,16200.0,1.0,5
With drift correct.,0.09252,0.089195,16200.0,1.0,5
With escape+CUSUM,0.092481,0.089111,16200.0,1.0,5
