ham,method,seed,energy_opt,exact_E,gap,n_circuits,n_steps,wall_time
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,0,-12.404498,-15.276131,2.871633,16200,200,84.131
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),0,-12.797267,-15.276131,2.478865,16200,200,84.842
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,0,-9.491703,-15.276131,5.784428,200,200,1.68
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,0,-7.77614,-15.276131,7.499991,600,200,2.858
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,0,-12.08374,-15.276131,3.192391,24400,200,117.21
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,0,1.004932,-15.276131,16.281063,1000,200,4.87
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,1,-12.106669,-15.276131,3.169462,16200,200,85.577
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),1,-12.426539,-15.276131,2.849592,16200,200,84.865
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,1,-9.401163,-15.276131,5.874968,200,200,1.638
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,1,-4.451841,-15.276131,10.82429,600,200,2.836
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,1,-11.947258,-15.276131,3.328873,24400,200,115.29
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,1,0.791779,-15.276131,16.06791,1000,200,4.653
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,2,-14.107722,-15.276131,1.168409,16200,200,83.176
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),2,-13.96485,-15.276131,1.311281,16200,200,79.851
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,2,-7.689272,-15.276131,7.586859,200,200,1.583
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,2,-4.494222,-15.276131,10.78191,600,200,2.71
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,2,-13.751062,-15.276131,1.525069,24400,200,115.05
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,2,1.081173,-15.276131,16.357304,1000,200,4.836
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,3,-13.965789,-15.276131,1.310342,16200,200,85.373
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),3,-12.363011,-15.276131,2.91312,16200,200,85.672
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,3,-11.676797,-15.276131,3.599334,200,200,1.716
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,3,-7.498249,-15.276131,7.777883,600,200,2.955
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,3,-13.818856,-15.276131,1.457275,24400,200,117.437
