config,gap_mean,gap_std,circuits_mean,ratio,n_seeds
Full v9.0,0.123711,0.136272,19400.0,1.0,5
No escape,0.123711,0.136272,19400.0,1.0,5
No preconditioner,0.48373,0.008061,19400.0,3.91,5
No momentum,0.22788,0.170603,19400.0,1.84,5
No CUSUM,0.123711,0.136272,19400.0,1.0,5
No VSNG,0.123711,0.136272,19400.0,1.0,5
With annealing,0.123711,0.136272,19400.0,1.0,5
No clipping,0.123711,0.136272,19400.0,1.0,5
With drift correct.,0.123697,0.136276,19400.0,1.0,5
With escape+CUSUM,0.123711,0.136272,19400.0,1.0,5
