ham,method,seed,energy_opt,exact_E,gap,n_circuits,n_steps,wall_time
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,0,-15.519631,-18.22909,2.709459,19400,200,121.384
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),0,-15.538348,-18.22909,2.690742,19400,200,121.086
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,1,-16.663165,-18.22909,1.565925,19400,200,120.649
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),1,-17.028339,-18.22909,1.200751,19400,200,119.917
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,2,-15.189091,-18.22909,3.039999,19400,200,119.66
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),2,-16.728054,-18.22909,1.501036,19400,200,119.664
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,3,-15.243992,-18.22909,2.985098,19400,200,120.149
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),3,-14.881961,-18.22909,3.347129,19400,200,120.465
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,4,-15.228104,-18.22909,3.000986,19400,200,120.854
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),4,-15.546925,-18.22909,2.682164,19400,200,120.162
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,5,-17.077317,-18.22909,1.151772,19400,200,119.699
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),5,-15.106204,-18.22909,3.122885,19400,200,120.4
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,6,-17.034842,-18.22909,1.194247,19400,200,119.397
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),6,-16.825854,-18.22909,1.403236,19400,200,119.467
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,7,-15.540691,-18.22909,2.688399,19400,200,119.285
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),7,-15.50502,-18.22909,2.72407,19400,200,119.97
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,8,-16.837666,-18.22909,1.391424,19400,200,121.563
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),8,-16.947199,-18.22909,1.281891,19400,200,122.24
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,9,-17.00005,-18.22909,1.229039,19400,200,122.815
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),9,-16.873884,-18.22909,1.355206,19400,200,122.743
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,10,-17.042864,-18.22909,1.186226,19400,200,122.259
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),10,-15.024658,-18.22909,3.204432,19400,200,121.399
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,11,-16.926948,-18.22909,1.302142,19400,200,120.557
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),11,-17.103267,-18.22909,1.125823,19400,200,121.994
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,12,-15.095747,-18.22909,3.133343,19400,200,120.976
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),12,-15.448474,-18.22909,2.780616,19400,200,121.385
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,13,-16.979432,-18.22909,1.249658,19400,200,120.602
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),13,-16.665645,-18.22909,1.563445,19400,200,121.697
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,14,-15.51991,-18.22909,2.70918,19400,200,120.726
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),14,-16.208837,-18.22909,2.020253,19400,200,120.82
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,15,-16.790784,-18.22909,1.438306,19400,200,121.382
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),15,-15.275586,-18.22909,2.953504,19400,200,121.546
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,16,-16.894153,-18.22909,1.334937,19400,200,121.896
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),16,-16.979467,-18.22909,1.249623,19400,200,120.625
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,17,-15.354324,-18.22909,2.874766,19400,200,120.602
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),17,-17.048771,-18.22909,1.180319,19400,200,120.857
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,18,-16.871962,-18.22909,1.357128,19400,200,120.71
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),18,-17.145519,-18.22909,1.083571,19400,200,120.523
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,19,-17.066604,-18.22909,1.162486,19400,200,120.435
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),19,-17.080984,-18.22909,1.148105,19400,200,120.885
