ham,method,seed,energy_opt,exact_E,gap,n_circuits,n_steps,wall_time
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v8.0,0,-6.743816,-6.744563,0.000747,9900,300,32.021
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),0,-6.744562,-6.744563,0.0,9900,300,31.819
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,0,-6.624353,-6.744563,0.12021,300,300,1.691
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,0,-6.326732,-6.744563,0.417831,900,300,2.91
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,0,-6.743699,-6.744563,0.000863,9900,300,38.711
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,0,-0.795441,-6.744563,5.949122,1500,300,4.785
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v8.0,1,-6.744541,-6.744563,2.2e-05,9900,300,31.42
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),1,-6.744563,-6.744563,0.0,9900,300,32.314
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,1,-6.71681,-6.744563,0.027753,300,300,1.695
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,1,-6.160544,-6.744563,0.584018,900,300,3.01
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,1,-6.743317,-6.744563,0.001245,9900,300,38.606
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,1,-1.495252,-6.744563,5.249311,1500,300,4.87
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v8.0,2,-6.744114,-6.744563,0.000449,9900,300,32.203
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),2,-6.744563,-6.744563,0.0,9900,300,32.831
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,2,-6.566635,-6.744563,0.177927,300,300,1.69
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,2,-6.437389,-6.744563,0.307174,900,300,2.909
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,2,-6.74238,-6.744563,0.002182,9900,300,38.411
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,2,-0.334466,-6.744563,6.410096,1500,300,4.9
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v8.0,3,-6.744562,-6.744563,1e-06,9372,284,30.245
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),3,-6.744533,-6.744563,2.9e-05,9900,300,31.967
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,3,-6.710164,-6.744563,0.034398,300,300,1.613
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,3,-5.447451,-6.744563,1.297111,900,300,2.823
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,3,-6.730439,-6.744563,0.014124,9900,300,38.221
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,3,-0.695167,-6.744563,6.049396,1500,300,4.976
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v8.0,4,-6.744562,-6.744563,1e-06,5709,173,19.36
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),4,-6.744563,-6.744563,0.0,9900,300,31.897
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,4,-6.729963,-6.744563,0.0146,300,300,1.628
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,4,-6.319619,-6.744563,0.424943,900,300,2.957
