config,gap_mean,gap_std,circuits_mean,ratio,n_seeds
Full v9.0,0.234961,0.066224,9800.0,1.0,5
No escape,0.234961,0.066224,9800.0,1.0,5
No preconditioner,0.6118,0.01531,9800.0,2.6,5
No momentum,0.535886,0.038643,6330.8,2.28,5
No CUSUM,0.234961,0.066224,9800.0,1.0,5
No VSNG,0.234961,0.066224,9800.0,1.0,5
With annealing,0.234961,0.066224,9800.0,1.0,5
No clipping,0.235308,0.066385,9800.0,1.0,5
With drift correct.,0.234858,0.066247,9800.0,1.0,5
With escape+CUSUM,0.234961,0.066224,9800.0,1.0,5
