ham,method,seed,energy_opt,exact_E,gap,n_circuits,n_steps,wall_time
"TFIM (J=1, h=0.5)",SIGMA-QGD v9.0,0,-12.592258,-12.762569,0.170311,9800,200,29.837
"TFIM (J=1, h=0.5)",Adam (best),0,-12.444266,-12.762569,0.318303,9800,200,28.82
"TFIM (J=1, h=0.5)",COBYLA,0,-12.128674,-12.762569,0.633896,200,200,1.047
"TFIM (J=1, h=0.5)",SPSA,0,-12.099102,-12.762569,0.663467,600,200,1.629
"TFIM (J=1, h=0.5)",Diag-QNG,0,-12.135701,-12.762569,0.626869,14800,200,41.064
"TFIM (J=1, h=0.5)",QN-SPSA,0,-11.986432,-12.762569,0.776137,1000,200,2.791
"TFIM (J=1, h=0.5)",SIGMA-QGD v9.0,1,-12.609377,-12.762569,0.153193,9800,200,28.992
"TFIM (J=1, h=0.5)",Adam (best),1,-12.514255,-12.762569,0.248314,9800,200,28.927
"TFIM (J=1, h=0.5)",COBYLA,1,-12.124041,-12.762569,0.638528,200,200,1.043
"TFIM (J=1, h=0.5)",SPSA,1,-12.090441,-12.762569,0.672128,600,200,1.651
"TFIM (J=1, h=0.5)",Diag-QNG,1,-12.145386,-12.762569,0.617183,14800,200,41.318
"TFIM (J=1, h=0.5)",QN-SPSA,1,-11.818966,-12.762569,0.943604,1000,200,2.812
"TFIM (J=1, h=0.5)",SIGMA-QGD v9.0,2,-12.51067,-12.762569,0.251899,9800,200,29.319
"TFIM (J=1, h=0.5)",Adam (best),2,-12.369081,-12.762569,0.393488,9800,200,28.976
"TFIM (J=1, h=0.5)",COBYLA,2,-12.129822,-12.762569,0.632747,200,200,1.097
"TFIM (J=1, h=0.5)",SPSA,2,-12.129456,-12.762569,0.633113,600,200,1.664
"TFIM (J=1, h=0.5)",Diag-QNG,2,-12.166619,-12.762569,0.59595,14800,200,41.312
"TFIM (J=1, h=0.5)",QN-SPSA,2,-11.848197,-12.762569,0.914372,1000,200,2.8
"TFIM (J=1, h=0.5)",SIGMA-QGD v9.0,3,-12.42828,-12.762569,0.334289,9800,200,29.234
"TFIM (J=1, h=0.5)",Adam (best),3,-12.3026,-12.762569,0.459969,9800,200,28.77
"TFIM (J=1, h=0.5)",COBYLA,3,-12.125256,-12.762569,0.637313,200,200,0.993
"TFIM (J=1, h=0.5)",SPSA,3,-12.11107,-12.762569,0.651499,600,200,1.634
"TFIM (J=1, h=0.5)",Diag-QNG,3,-12.135166,-12.762569,0.627404,14800,200,41.46
"TFIM (J=1, h=0.5)",QN-SPSA,3,-11.605104,-12.762569,1.157465,1000,200,2.869
"TFIM (J=1, h=0.5)",SIGMA-QGD v9.0,4,-12.497455,-12.762569,0.265114,9800,200,29.414
"TFIM (J=1, h=0.5)",Adam (best),4,-12.418624,-12.762569,0.343946,9800,200,28.9
"TFIM (J=1, h=0.5)",COBYLA,4,-12.13636,-12.762569,0.62621,200,200,1.049
"TFIM (J=1, h=0.5)",SPSA,4,-12.117943,-12.762569,0.644626,600,200,1.737
"TFIM (J=1, h=0.5)",Diag-QNG,4,-12.170752,-12.762569,0.591817,14800,200,42.425
"TFIM (J=1, h=0.5)",QN-SPSA,4,-11.633275,-12.762569,1.129294,1000,200,2.885
