sweep,value,gap_mean,gap_std,circuits_mean,n_seeds
multiplier,2.0,0.059693427599246715,0.050336052114954954,9800.0,5
multiplier,4.0,0.2349611302245748,0.0662236355882071,9800.0,5
multiplier,6.0,0.3282544227602283,0.0863627678546129,9800.0,5
multiplier,8.0,0.3720880572071728,0.09300313745054868,9800.0,5
lambda_reg,0.001,0.3048234486651946,0.13727517837945624,9319.8,5
lambda_reg,0.01,0.2349611302245748,0.0662236355882071,9800.0,5
lambda_reg,0.05,0.41766355818862094,0.04861555132587267,9800.0,5
lambda_reg,0.1,0.5144648741283973,0.028824660744999807,9800.0,5
ema_window,10,0.2349611302245748,0.0662236355882071,9800.0,5
ema_window,20,0.2349611302245748,0.0662236355882071,9800.0,5
ema_window,30,0.2349611302245748,0.0662236355882071,9800.0,5
ema_window,45,0.2349611302245748,0.0662236355882071,9800.0,5
